mode,trace,step,step_instances,step_tokens,prefill_sequences,decode_sequences,block,frame,op,input_dims,input_types,kernel,grid,block_dims,graph,count,total_us,mean_us,min_us,max_us
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,norm,ir/ops/layernorm.py:43 fused_add_rms_norm,aten::pow,"[[1,5120],[]]","[""float"",""Scalar""]","void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul>)",5x1x1,128x1x1,False,896,846.817999999997,0.9451093749999967,0.895,1.76
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/layers/mamba/gdn/qwen_gdn_linear_attn.py:889 forward_cuda,vllm::qwen_gdn_attention_core_fused_norm_packed,"[[1,16384],[1,96],[1,48,128],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""""]",_causal_conv1d_update_kernel,1x40x1,128x1x1,False,336,807.0040000000012,2.4017976190476227,2.112,2.944
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,mlp,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,17408],[5120,17408],[40,136],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel<__nv_bfloat16, __nv_fp8_e4m3, float>(__nv_fp8_e4m3*, float*, __nv_bfloat16 const*, int, int)",1056x1x1,256x1x1,False,448,692.9949999999983,1.5468638392857106,1.44,2.176
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,mlp,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,5120],[34816,5120],[272,40],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel<__nv_bfloat16, __nv_fp8_e4m3, float>(__nv_fp8_e4m3*, float*, __nv_bfloat16 const*, int, int)",1056x1x1,256x1x1,False,448,648.9980000000007,1.4486562500000015,1.376,1.985
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,6144],[5120,6144],[40,48],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel<__nv_bfloat16, __nv_fp8_e4m3, float>(__nv_fp8_e4m3*, float*, __nv_bfloat16 const*, int, int)",1056x1x1,256x1x1,False,336,519.9130000000007,1.5473601190476212,1.472,2.016
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/layers/mamba/gdn/qwen_gdn_linear_attn.py:889 forward_cuda,vllm::qwen_gdn_attention_core_fused_norm_packed,"[[1,16384],[1,96],[1,48,128],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""""]",layer_norm_fwd_kernel,48x1x1,32x1x1,False,336,514.7820000000003,1.5320892857142865,1.44,2.369
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/kernels/linear/scaled_mm/flashinfer.py:184 apply_block_scaled_mm,vllm::dynamic_flashinfer_deepgemm_blockscale_gemm,"[[1,5120],[16384,5120],[128,40],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar""]","void tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel<__nv_bfloat16, __nv_fp8_e4m3, float>(__nv_fp8_e4m3*, float*, __nv_bfloat16 const*, int, int)",1056x1x1,256x1x1,False,336,492.3189999999987,1.4652351190476152,1.408,2.08
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/parameter.py:122 __torch_function__,aten::mm,"[[1,5120],[5120,96]]","[""c10::BFloat16"",""c10::BFloat16""]","void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",3x1x1,32x16x1,False,336,453.384999999999,1.349360119047616,1.247,2.08
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,attention,vllm_flash_attn/flash_attn_interface.py:176 flash_attn_varlen_func,_vllm_fa3_C::fwd,"[[1,24,256],[2052,784,4,256],[2052,784,4,256],[],[],[],[1,24,256],[2],[],[],[],[1],[],[],[1,48],[],[],[],[],[],[1,4],[1,4],[1,4],[],[],[],[],[],[],[9],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16"",""int"","""","""","""",""int"",""Scalar"",""Scalar"",""int"","""","""","""","""","""",""float"",""float"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""int"",""Scalar"","""",""Scalar"","""",""Scalar"",""Scalar"",""""]","void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128> >, 5, 256, 1, false, true, cutlass::bfloat16_t, float, cutlass::arch::Sm90> >(flash::FlashAttnFwdCombine<cute::tuple<cute::C<8>, cute::C<128> >, 5, 256, 1, false, true, cutlass::bfloat16_t, float, cutlass::arch::Sm90>::Params)",3x2x1,256x1x1,False,112,372.77199999999993,3.328321428571428,2.624,3.68
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,attention,,,,,_fused_qk_rmsnorm_rope_gate_kernel,1x28x1,128x1x1,False,112,264.4829999999999,2.361455357142856,2.24,3.232
eager,prompt_1001_decode_7,execute_context_0(0)_generation_1(1),7,1,0,1,gdn,model_executor/layers/mamba/gdn/qwen_gdn_linear_attn.py:889 forward_cuda,aten::fill_,"[[1,48,128],[]]","[""c10::BFloat16"",""Scalar""]","void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",6x1x1,128x1x1,False,336,261.4439999999992,0.7781071428571406,0.735,1.344
